번호,자치구,동,공원수,유치원,초등학교,중학교,고등학교,특수학교,학원,여가시설,음식점,의료시설,공기오염도,cctv,노인복지시설,체육시설,공공도서관
82,광진구,광장동,9,6,4,2,2,1,173,30,318,59,0.268005505,173,16,5,1
83,광진구,자양1동,3,2,1,1,1,1,92,34,278,54,0.063917631,42,4,2,1
84,광진구,자양2동,6,4,3,2,1,1,126,29,164,41,0.188388807,121,11,4,1
85,광진구,자양3동,5,3,2,1,1,1,253,31,492,74,0.134563433,87,8,3,1
86,광진구,자양4동,5,3,2,1,1,1,80,90,572,60,0.130077986,84,8,3,1
88,동대문구,회기동,6,2,2,1,1,0,52,51,518,21,0.101547117,84,9,1,1
89,동대문구,휘경1동,5,2,1,1,1,0,58,22,289,41,0.084177215,69,7,1,1
90,동대문구,휘경2동,8,3,2,2,1,0,62,16,174,29,0.140295359,115,12,1,1
91,동대문구,청량리동,9,3,2,2,1,0,41,33,327,56,0.160337553,132,13,2,1
92,동대문구,용신동,11,4,3,2,2,0,70,47,473,92,0.21511955,177,18,2,1
93,동대문구,제기동,8,3,2,2,1,0,72,24,547,563,0.15766526,130,13,2,1
94,동대문구,전농1동,8,3,2,2,1,0,65,35,522,52,0.159001406,131,13,2,1
95,동대문구,전농2동,6,2,2,1,1,0,75,18,134,28,0.114908579,95,10,1,1
96,동대문구,답십리1동,6,2,2,1,1,0,49,22,213,40,0.108227848,89,9,1,1
97,동대문구,답십리2동,6,2,2,1,1,0,55,21,156,21,0.113572433,93,10,1,1
98,동대문구,장안1동,9,3,2,2,1,0,110,64,551,76,0.167018284,137,14,2,1
99,동대문구,장안2동,8,3,2,2,1,0,207,59,537,64,0.145639944,120,12,1,1
100,동대문구,이문1동,7,3,2,2,1,0,80,63,497,51,0.138959212,114,12,1,1
101,동대문구,이문2동,5,2,2,1,1,0,55,8,126,21,0.092194093,76,8,1,1
103,중랑구,면목2동,4,2,1,1,1,0,60,21,199,35,0.070555229,42,6,1,1
